2023-06-21 11:19:36,230 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:36,230 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:36,601 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153146
2023-06-21 11:19:36,629 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:36,630 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:36,928 I event_name:TransferSingle,from_block:17516163, to_block:17517163, current_block_height:17525318
2023-06-21 11:19:38,036 I event_name:TransferSingle,from_block:17516163, to_block:17517163, current_block_height:44153146
2023-06-21 11:19:39,280 I event_name:TransferBatch,from_block:17516163, to_block:17517163, current_block_height:17525319
2023-06-21 11:19:40,601 I event_name:TransferBatch,from_block:17516163, to_block:17517163, current_block_height:44153148
2023-06-21 11:19:41,605 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:17525319
2023-06-21 11:19:41,624 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:41,624 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:41,929 I event_name:Burn,from_block:17506153, to_block:17507153, current_block_height:44153148
2023-06-21 11:19:41,954 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:41,954 E ("The event 'Burn' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:47,604 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:17525319
2023-06-21 11:19:47,613 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:47,613 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:47,966 I event_name:Mint,from_block:17506153, to_block:17507153, current_block_height:44153151
2023-06-21 11:19:47,987 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:47,988 E ("The event 'Mint' was not found in this contract's abi. ", 'Are you sure you provided the correct contract abi?')
2023-06-21 11:19:48,391 I event_name:TransferSingle,from_block:17517164, to_block:17518164, current_block_height:17525319
2023-06-21 11:19:49,609 I event_name:TransferSingle,from_block:17517164, to_block:17518164, current_block_height:44153151
2023-06-21 11:19:50,618 I event_name:TransferBatch,from_block:17517164, to_block:17518164, current_block_height:17525320
